id,[Random] First Name,[Random] Last Name,Lead Source,Created Date,Created Month,Became an MQL Date,MQL Month,Opportunity Created Date,Opportunity Month,Closed Date,Closed Month,Account ID,Account Domain,Account Name,Account Country,Account Continent,Opportunity ID,Product,Stage Status,New business booking $,MQL month / year,MQL to OPP date diff,OPP month / year,OPP to CW date diff,Closed month / year
2007,Stephen,Valencia,Gated Content,26/11/2022,01/11/2022,10/03/2023,03/01/2023,,,,,17500000000000000000,company9630242618.com,Company9630242618,Austria,Europe,,,,0,03/01/2023,,,,
2023,Katie,Lee,Request Demo,25/12/2022,01/12/2022,01/04/2023,04/01/2023,,,,,14600000000000000000,company2052613244.com,Company2052613244,Morocco,Africa,,,,0,04/01/2023,,,,
2038,Matthew,Oconnor,Signup,26/12/2022,01/12/2022,17/02/2023,02/01/2023,2/19/23,02/01/2023,,,7060000000000000000,company3351786041.com,Company3351786041,Bulgaria,Europe,opp2336392927,Free,Closed Lost,0,02/01/2023,0,02/01/2023,,
2040,Christopher,Merritt,Signup,06/10/2022,01/10/2022,28/01/2023,01/01/2023,,,,,289000000000000000,company6913615154.com,Company6913615154,Finland,Europe,,,,0,01/01/2023,,,,
2050,Vincent,Reed,Signup,21/11/2022,01/11/2022,16/01/2023,01/01/2023,,,,,2110000000000000000,company3295466243.com,Company3295466243,Montenegro,Europe,,,,0,01/01/2023,,,,
2112,Morgan,Bradshaw,Signup,09/12/2022,01/12/2022,28/02/2023,02/01/2023,03/04/2023,03/01/2023,,,16600000000000000000,company2772101160.com,Company2772101160,Hungary,Europe,opp4455423958,Free,Disqualified,0,02/01/2023,1,03/01/2023,,
2136,Katherine,Roberts,Signup,21/10/2022,01/10/2022,03/02/2023,02/01/2023,02/10/2023,02/01/2023,,,17200000000000000000,company5483627106.com,Company5483627106,Saudi Arabia,Asia,opp9397883125,Free,Closed Lost,0,02/01/2023,0,02/01/2023,,
2213,Sarah,Sanchez,Signup,22/11/2022,01/11/2022,10/02/2023,02/01/2023,02/11/2023,02/01/2023,02/12/2023,02/01/2023,13600000000000000000,company5872187604.com,Company5872187604,Nicaragua,North America,opp503999721,Free,Contract Signed,0,02/01/2023,0,02/01/2023,0,02/01/2023
2220,Ryan,Reynolds,Signup,30/12/2022,01/12/2022,03/01/2023,01/01/2023,,,,,7220000000000000000,company2201939994.com,Company2201939994,Barbados,North America,,,,0,01/01/2023,,,,
2249,Alexander,Lin,Request Demo,11/11/2022,01/11/2022,04/02/2023,02/01/2023,02/09/2023,02/01/2023,03/01/2023,03/01/2023,1990000000000000000,company1812565615.com,Company1812565615,Saint Kitts and Nevis,North America,opp80150869,Free,Closed Won,0,02/01/2023,0,02/01/2023,1,03/01/2023
2440,Thomas,Schmidt,Request Demo,19/11/2022,01/11/2022,19/02/2023,02/01/2023,,,,,12200000000000000000,company4377940046.com,Company4377940046,Macedonia,Europe,,,,0,02/01/2023,,,,
2482,Tammie,Watkins,Request Demo,04/11/2022,01/11/2022,25/02/2023,02/01/2023,,,,,2820000000000000000,company3413866745.com,Company3413866745,Spain,Europe,,,,0,02/01/2023,,,,
2499,Jimmy,Rodriguez,Request Demo,28/11/2022,01/11/2022,12/01/2023,01/01/2023,,,,,15800000000000000000,company5245906311.com,Company5245906311,Belize,North America,,,,0,01/01/2023,,,,
2543,Amber,Wells,Request Demo,22/11/2022,01/11/2022,13/02/2023,02/01/2023,,,,,15800000000000000000,company7999053302.com,Company7999053302,Ukraine,Europe,,,,0,02/01/2023,,,,
2547,Courtney,Rivera,Request Demo,27/12/2022,01/12/2022,01/01/2023,01/01/2023,,,,,14500000000000000000,company923123473.com,Company923123473,Saint Vincent and the Grenadines,North America,,,,0,01/01/2023,,,,
